primary_type,id,case_number,date,block,iucr,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58,:@computed_region_8hcu_yrd4
ASSAULT,13236395,JG455134,2023-10-07T23:00:00.000,050XX S MICHIGAN AVE,0560,SIMPLE,RESIDENCE - PORCH / HALLWAY,False,False,0224,002,3,38,08A,1178008,1871738,2023,2023-10-15T15:42:41.000,41.803365964,-87.622682706,"{'latitude': '41.803365964', 'longitude': '-87.622682706', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,21192,4,449,9,10,24,107,8
BATTERY,13237510,JG456268,2023-10-07T23:00:00.000,009XX E 133RD ST,0486,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,0533,005,10,54,08B,1185343,1817293,2023,2023-10-15T15:42:41.000,41.653793261,-87.597489018,"{'latitude': '41.653793261', 'longitude': '-87.597489018', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",30,4460,51,10,43,47,10,221,6
BURGLARY,13237053,JG456044,2023-10-07T23:00:00.000,053XX N MAGNOLIA AVE,0630,ATTEMPT FORCIBLE ENTRY,RESIDENCE,False,False,2013,020,48,77,05,1166999,1935693,2023,2023-10-15T15:42:41.000,41.979105755,-87.661220631,"{'latitude': '41.979105755', 'longitude': '-87.661220631', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",40,22616,76,540,16,15,2,54,48
BURGLARY,13237205,JG455952,2023-10-07T23:00:00.000,093XX S LOWE AVE,0610,FORCIBLE ENTRY,RESIDENCE,False,True,2223,022,21,73,05,1173612,1843010,2023,2023-10-15T15:42:41.000,41.724631501,-87.63965452,"{'latitude': '41.724631501', 'longitude': '-87.63965452', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18,21554,72,631,13,59,9,243,11
ASSAULT,13236496,JG455145,2023-10-07T22:57:00.000,024XX W TAYLOR ST,051A,AGGRAVATED - HANDGUN,APARTMENT,False,True,1135,011,28,28,04A,1160313,1895638,2023,2023-10-15T15:42:41.000,41.869333381,-87.686919244,"{'latitude': '41.869333381', 'longitude': '-87.686919244', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,21184,29,756,23,28,16,146,28
BATTERY,13236526,JG455181,2023-10-07T22:39:00.000,030XX E CHELTENHAM PL,0420,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,False,False,0421,004,7,46,04B,1197918,1853594,2023,2023-10-15T15:42:41.000,41.75310285,-87.550270556,"{'latitude': '41.75310285', 'longitude': '-87.550270556', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",43,22538,42,505,37,24,19,225,5
BATTERY,13236484,JG455147,2023-10-07T22:30:00.000,001XX W DIVISION ST,0486,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1824,018,27,8,08B,1175156,1908348,2023,2023-10-15T15:42:41.000,41.903890702,-87.632045722,"{'latitude': '41.903890702', 'longitude': '-87.632045722', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",22,14926,37,310,46,54,14,197,27
BURGLARY,13236567,JG455161,2023-10-07T22:30:00.000,050XX W WASHINGTON BLVD,0610,FORCIBLE ENTRY,APARTMENT,False,False,1532,015,28,25,05,1142718,1900032,2023,2023-10-15T15:42:41.000,41.88173649,-87.751406401,"{'latitude': '41.88173649', 'longitude': '-87.751406401', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,22216,26,696,23,32,25,137,28
ASSAULT,13236446,JG455167,2023-10-07T22:20:00.000,075XX S KENWOOD AVE,0560,SIMPLE,APARTMENT,True,True,0411,004,8,43,08A,1186519,1855230,2023,2023-10-15T15:42:41.000,41.757869297,-87.59199114,"{'latitude': '41.757869297', 'longitude': '-87.59199114', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",32,21546,39,188,33,61,19,224,10
BATTERY,13236411,JG455106,2023-10-07T22:17:00.000,015XX S HARDING AVE,0486,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1014,010,24,29,08B,1150300,1892132,2023,2023-10-15T15:42:41.000,41.859913531,-87.723771229,"{'latitude': '41.859913531', 'longitude': '-87.723771229', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",36,21569,30,33,14,57,21,156,24
