primary_type,id,case_number,date,block,iucr,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58,:@computed_region_8hcu_yrd4
BATTERY,13235064,JG453207,2023-10-06T11:02:00.000,052XX N GLENWOOD AVE,0460,SIMPLE,SIDEWALK,False,False,2013,020,48,77,08B,1166034,1935103,2023,2023-10-14T15:41:53.000,41.977507499,-87.6647864,"{'latitude': '41.977507499', 'longitude': '-87.6647864', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",40,22616,76,540,16,15,2,54,48
BATTERY,13236024,JG453881,2023-10-06T11:00:00.000,018XX W GARFIELD BLVD,0460,SIMPLE,SCHOOL - PRIVATE GROUNDS,False,False,0932,009,16,61,08B,1165100,1868208,2023,2023-10-14T15:41:53.000,41.793962327,-87.670122389,"{'latitude': '41.793962327', 'longitude': '-87.670122389', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",19,22257,59,767,2,37,23,128,16
ASSAULT,13234832,JG453219,2023-10-06T11:00:00.000,015XX N KEDVALE AVE,0520,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,False,True,2534,025,36,23,04A,1148437,1909817,2023,2023-10-14T15:41:53.000,41.908479236,-87.730153567,"{'latitude': '41.908479236', 'longitude': '-87.730153567', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",27,4299,24,286,49,5,6,194,36
ASSAULT,13234881,JG453216,2023-10-06T11:00:00.000,123XX S EMERALD AVE,0560,SIMPLE,RESIDENCE,False,True,0523,005,9,53,08A,1173557,1823055,2023,2023-10-14T15:41:53.000,41.669873159,-87.640444012,"{'latitude': '41.669873159', 'longitude': '-87.640444012', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",45,21861,50,7,22,19,10,218,11
ASSAULT,13235116,JG453475,2023-10-06T11:00:00.000,062XX N KENMORE AVE,0520,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,False,False,2433,024,48,77,04A,1168109,1941545,2023,2023-10-14T15:41:53.000,41.995139805,-87.656968598,"{'latitude': '41.995139805', 'longitude': '-87.656968598', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",40,4451,76,45,16,14,11,50,48
ASSAULT,13235244,JG453805,2023-10-06T11:00:00.000,010XX W 95TH ST,0530,AGGRAVATED - OTHER DANGEROUS WEAPON,COMMERCIAL / BUSINESS OFFICE,False,False,2223,022,21,73,04A,1171176,1841811,2023,2023-10-14T15:41:53.000,41.721394792,-87.648612493,"{'latitude': '41.721394792', 'longitude': '-87.648612493', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18,22212,72,592,13,13,9,243,21
ASSAULT,13235003,JG453161,2023-10-06T10:59:00.000,092XX S WESTERN AVE,0560,SIMPLE,DEPARTMENT STORE,False,False,2221,022,19,72,08A,1162000,1843041,2023,2023-10-14T15:41:53.000,41.724965473,-87.682188494,"{'latitude': '41.724965473', 'longitude': '-87.682188494', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",33,22212,71,627,42,59,9,245,19
BATTERY,13240584,JG454061,2023-10-06T10:55:00.000,027XX W PERSHING RD,0460,SIMPLE,SCHOOL - PUBLIC BUILDING,False,False,0911,009,12,58,08B,1158694,1878674,2023,2023-10-14T15:41:53.000,41.822815592,-87.693327158,"{'latitude': '41.822815592', 'longitude': '-87.693327158', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",29,22248,55,638,1,56,23,96,12
BATTERY,13234998,JG453093,2023-10-06T10:50:00.000,006XX E 78TH ST,0486,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,0624,006,6,69,08B,1182042,1853437,2023,2023-10-14T15:41:53.000,41.753053814,-87.608454014,"{'latitude': '41.753053814', 'longitude': '-87.608454014', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",31,21546,67,496,32,61,20,227,4
BURGLARY,13235191,JG453461,2023-10-06T10:30:00.000,037XX W 13TH ST,0620,UNLAWFUL ENTRY,APARTMENT,False,False,1011,010,24,29,05,1151675,1893786,2023,2023-10-14T15:41:53.000,41.8644254,-87.718680477,"{'latitude': '41.8644254', 'longitude': '-87.718680477', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",36,21569,30,33,14,57,21,155,24
BATTERY,13234868,JG453130,2023-10-06T10:30:00.000,080XX S EUCLID AVE,0486,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,0414,004,8,46,08B,1190594,1852115,2023,2023-10-14T15:41:53.000,41.749224132,-87.577157314,"{'latitude': '41.749224132', 'longitude': '-87.577157314', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,21202,42,507,35,25,19,222,10
ASSAULT,13235551,JG453266,2023-10-06T10:24:00.000,037XX W ROOSEVELT RD,051A,AGGRAVATED - HANDGUN,GAS STATION,True,False,1011,010,24,29,04A,1151592,1894452,2023,2023-10-14T15:41:53.000,41.86625461,-87.718967674,"{'latitude': '41.86625461', 'longitude': '-87.718967674', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",36,21572,30,33,14,57,21,155,24
ASSAULT,13234782,JG453088,2023-10-06T10:12:00.000,008XX W MARQUETTE RD,0560,SIMPLE,RESIDENCE,False,True,0723,007,16,68,08A,1171651,1860420,2023,2023-10-14T15:41:53.000,41.772449966,-87.646328451,"{'latitude': '41.772449966', 'longitude': '-87.646328451', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",19,21559,66,436,32,11,17,202,16
ASSAULT,13234853,JG453116,2023-10-06T10:10:00.000,070XX S RHODES AVE,051A,AGGRAVATED - HANDGUN,APARTMENT,False,True,0322,003,6,69,04A,1181124,1858439,2023,2023-10-14T15:41:53.000,41.766801004,-87.611664319,"{'latitude': '41.766801004', 'longitude': '-87.611664319', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",31,21546,67,480,32,60,18,211,4
BATTERY,13235006,JG453089,2023-10-06T10:10:00.000,077XX S PAULINA ST,0486,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,0611,006,17,71,08B,1166356,1853380,2023,2023-10-14T15:41:53.000,41.753245682,-87.665938655,"{'latitude': '41.753245682', 'longitude': '-87.665938655', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17,21554,70,573,31,59,20,231,17
BATTERY,13234910,JG453133,2023-10-06T10:09:00.000,073XX S RIDGELAND AVE,0486,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,0324,003,7,43,08B,1189144,1856721,2023,2023-10-14T15:41:53.000,41.761898254,-87.582323261,"{'latitude': '41.761898254', 'longitude': '-87.582323261', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,22538,39,419,35,24,18,217,5
BURGLARY,13235473,JG453925,2023-10-06T10:00:00.000,050XX N WINTHROP AVE,0620,UNLAWFUL ENTRY,APARTMENT,False,False,2033,020,48,3,05,1167955,1933907,2023,2023-10-14T15:41:53.000,41.974184283,-87.657756697,"{'latitude': '41.974184283', 'longitude': '-87.657756697', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",40,22616,31,634,16,15,2,14,48
BATTERY,13235827,JG453379,2023-10-06T09:45:00.000,008XX W WELLINGTON AVE,0484,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",HOSPITAL BUILDING / GROUNDS,False,False,1933,019,44,6,08B,1169981,1920130,2023,2023-10-14T15:41:53.000,41.936335635,-87.650710119,"{'latitude': '41.936335635', 'longitude': '-87.650710119', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",38,4449,57,681,25,22,5,31,44
BATTERY,13234697,JG453045,2023-10-06T09:30:00.000,023XX N PULASKI RD,0460,SIMPLE,STREET,False,False,2525,025,35,22,08B,1149325,1915347,2023,2023-10-14T15:41:53.000,41.923636898,-87.726747784,"{'latitude': '41.923636898', 'longitude': '-87.726747784', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,22615,21,463,12,2,6,187,35
BATTERY,13235025,JG453209,2023-10-06T09:25:00.000,010XX E 47TH ST,0462,"AGG. PROTECTED EMPLOYEE - HANDS, FISTS, FEET, SERIOUS INJURY",SCHOOL - PUBLIC BUILDING,False,False,0222,002,4,39,04B,1184079,1874062,2023,2023-10-14T15:41:53.000,41.809603298,-87.600345002,"{'latitude': '41.809603298', 'longitude': '-87.600345002', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,4301,5,395,10,36,24,113,9
BATTERY,13235004,JG453010,2023-10-06T09:16:00.000,085XX S LAFAYETTE AVE,0460,SIMPLE,SCHOOL - PUBLIC GROUNDS,False,False,0622,006,21,44,08B,1177422,1848381,2023,2023-10-14T15:41:53.000,41.73928511,-87.625536799,"{'latitude': '41.73928511', 'longitude': '-87.625536799', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18,21554,40,1,13,59,20,236,21
BATTERY,13234860,JG453038,2023-10-06T09:00:00.000,047XX W PENSACOLA AVE,0498,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",RESIDENCE,False,True,1722,017,45,16,04B,1143830,1928495,2023,2023-10-14T15:41:53.000,41.95982111,-87.746608032,"{'latitude': '41.95982111', 'longitude': '-87.746608032', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20,22618,15,139,50,21,1,11,45
ASSAULT,13235483,JG453250,2023-10-06T09:00:00.000,109XX S COTTAGE GROVE AVE,0560,SIMPLE,SCHOOL - PUBLIC BUILDING,False,True,0513,005,9,50,08A,1182028,1832591,2023,2023-10-14T15:41:53.000,41.695850199,-87.609147971,"{'latitude': '41.695850199', 'longitude': '-87.609147971', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",30,21861,47,237,43,19,10,260,11
BATTERY,13234720,JG452994,2023-10-06T08:52:00.000,037XX N OAKLEY AVE,0460,SIMPLE,SCHOOL - PUBLIC GROUNDS,False,False,1921,019,47,5,08B,1160370,1924789,2023,2023-10-14T15:41:53.000,41.949324776,-87.685902179,"{'latitude': '41.949324776', 'longitude': '-87.685902179', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13,21538,46,613,18,39,5,21,47
ASSAULT,13235478,JG453451,2023-10-06T08:50:00.000,039XX W CHICAGO AVE,0560,SIMPLE,RESTAURANT,False,False,1112,011,37,23,08A,1149775,1905050,2023,2023-10-14T15:41:53.000,41.895372185,-87.725362479,"{'latitude': '41.895372185', 'longitude': '-87.725362479', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,21572,24,584,45,30,16,66,37
ASSAULT,13234792,JG453030,2023-10-06T08:46:00.000,060XX S MARSHFIELD AVE,0520,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,RESIDENCE,False,True,0714,007,16,67,04A,1166375,1864660,2023,2023-10-14T15:41:53.000,41.784199093,-87.665548083,"{'latitude': '41.784199093', 'longitude': '-87.665548083', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",44,22257,65,276,3,23,17,164,16
BATTERY,13234652,JG452983,2023-10-06T08:35:00.000,033XX W OHIO ST,0486,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,1121,011,27,23,08B,1153830,1903796,2023,2023-10-14T15:41:53.000,41.891851273,-87.710502796,"{'latitude': '41.891851273', 'longitude': '-87.710502796', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,21572,24,177,46,30,16,65,27
ASSAULT,13234997,JG452972,2023-10-06T08:33:00.000,080XX S BISHOP ST,0560,SIMPLE,APARTMENT,False,True,0612,006,17,71,08A,1168067,1851334,2023,2023-10-14T15:41:53.000,41.747594583,-87.65972718,"{'latitude': '41.747594583', 'longitude': '-87.65972718', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18,21554,70,558,13,59,20,230,17
BATTERY,13242172,JG454876,2023-10-06T08:30:00.000,079XX S DOBSON AVE,0486,DOMESTIC BATTERY SIMPLE,SIDEWALK,False,True,0624,006,8,44,08B,1184603,1852481,2023,2023-10-15T15:41:21.000,41.750370859,-87.599098951,"{'latitude': '41.750370859', 'longitude': '-87.599098951', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,21546,40,247,35,61,20,227,10
BATTERY,13234722,JG452929,2023-10-06T08:03:00.000,046XX N WESTERN AVE,0460,SIMPLE,CTA PLATFORM,False,False,1911,019,47,4,08B,1159528,1930899,2023,2023-10-14T15:41:53.000,41.966108362,-87.688828331,"{'latitude': '41.966108362', 'longitude': '-87.688828331', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13,21849,6,665,18,20,5,10,47
BURGLARY,13237241,JG455942,2023-10-06T08:00:00.000,098XX S FOREST AVE,0610,FORCIBLE ENTRY,RESIDENCE,False,False,0511,005,9,49,05,1179985,1839776,2023,2023-10-14T15:41:53.000,41.715613697,-87.61640906,"{'latitude': '41.715613697', 'longitude': '-87.61640906', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",31,21861,45,567,43,19,10,250,11
ASSAULT,13234617,JG452990,2023-10-06T07:54:00.000,030XX S PARNELL AVE,0560,SIMPLE,ALLEY,False,False,0914,009,11,60,08A,1173122,1884727,2023,2023-10-14T15:41:53.000,41.839118445,-87.64021764,"{'latitude': '41.839118445', 'longitude': '-87.64021764', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",26,21194,58,155,48,40,23,157,7
BATTERY,13234741,JG452917,2023-10-06T07:50:00.000,030XX S LAWNDALE AVE,0460,SIMPLE,STREET,True,False,1031,010,22,30,08B,1152188,1884062,2023,2023-10-14T15:41:53.000,41.837731477,-87.717053437,"{'latitude': '41.837731477', 'longitude': '-87.717053437', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14,21569,32,234,28,57,21,167,22
BATTERY,13234627,JG452947,2023-10-06T07:50:00.000,002XX N PARKSIDE AVE,0460,SIMPLE,SCHOOL - PUBLIC GROUNDS,False,False,1512,015,29,25,08B,1138552,1901156,2023,2023-10-14T15:41:53.000,41.88489739,-87.766676821,"{'latitude': '41.88489739', 'longitude': '-87.766676821', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",52,22216,26,618,7,32,25,85,29
BATTERY,13234947,JG452900,2023-10-06T07:45:00.000,010XX W LELAND AVE,0460,SIMPLE,STREET,False,False,1914,019,46,3,08B,1168660,1931389,2023,2023-10-14T15:41:53.000,41.967259531,-87.655237517,"{'latitude': '41.967259531', 'longitude': '-87.655237517', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",37,22616,31,241,39,15,5,4,46
BATTERY,13234721,JG452892,2023-10-06T07:00:00.000,021XX W SUNNYSIDE AVE,0486,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1911,019,47,4,08B,1161560,1929869,2023,2023-10-14T15:41:53.000,41.963239807,-87.681385857,"{'latitude': '41.963239807', 'longitude': '-87.681385857', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13,21849,6,667,18,20,5,10,47
BATTERY,13235512,JG452830,2023-10-06T06:00:00.000,064XX S EBERHART AVE,0486,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,0312,003,20,42,08B,1180685,1862446,2023,2023-10-14T15:41:53.000,41.77780671,-87.613150423,"{'latitude': '41.77780671', 'longitude': '-87.613150423', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",53,22260,9,332,4,60,18,277,20
BATTERY,13234505,JG452792,2023-10-06T04:48:00.000,098XX S AVALON AVE,0486,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,0511,005,8,50,08B,1186272,1839981,2023,2023-10-14T15:41:53.000,41.716030277,-87.593376851,"{'latitude': '41.716030277', 'longitude': '-87.593376851', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,21861,47,643,35,19,10,250,10
BATTERY,13240553,JG452785,2023-10-06T04:40:00.000,076XX S MAY ST,0460,SIMPLE,APARTMENT,False,True,0612,006,17,71,08B,1169973,1854237,2023,2023-10-14T15:41:53.000,41.755519645,-87.652658868,"{'latitude': '41.755519645', 'longitude': '-87.652658868', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17,21554,70,572,31,59,20,230,17
ASSAULT,13234489,JG452794,2023-10-06T04:33:00.000,062XX N HOYNE AVE,0554,"AGGRAVATED POLICE OFFICER - HANDS, FISTS, FEET, NO INJURY",APARTMENT,True,False,2413,024,50,2,08A,1161186,1941500,2023,2023-10-14T15:41:53.000,41.995163547,-87.682435976,"{'latitude': '41.995163547', 'longitude': '-87.682435976', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42,4450,20,53,24,50,11,52,40
ASSAULT,13234515,JG452778,2023-10-06T04:20:00.000,0000X W 79TH ST,0560,SIMPLE,CTA STATION,True,False,0623,006,6,44,08A,1177483,1852629,2023,2023-10-14T15:41:53.000,41.750940757,-87.625185222,"{'latitude': '41.750940757', 'longitude': '-87.625185222', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",31,21554,67,495,32,59,20,228,4
BATTERY,13234556,JG452783,2023-10-06T04:11:00.000,028XX E 91ST ST,0496,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,RESIDENCE,False,True,0423,004,10,46,04B,1196754,1845176,2023,2023-10-14T15:41:53.000,41.730032191,-87.554815148,"{'latitude': '41.730032191', 'longitude': '-87.554815148', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",43,21202,42,175,37,25,19,238,5
BATTERY,13234568,JG452781,2023-10-06T04:06:00.000,095XX S GREENWOOD AVE,0498,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",RESIDENCE,True,True,0511,005,8,50,04B,1185217,1841866,2023,2023-10-14T15:41:53.000,41.721227753,-87.597181715,"{'latitude': '41.721227753', 'longitude': '-87.597181715', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,21861,47,643,35,19,10,250,10
BATTERY,13234507,JG452788,2023-10-06T04:03:00.000,037XX N BROADWAY,0460,SIMPLE,SIDEWALK,False,False,1925,019,46,6,08B,1170552,1924871,2023,2023-10-14T15:41:53.000,41.94933263,-87.64847244,"{'latitude': '41.94933263', 'longitude': '-87.64847244', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",37,21186,57,726,39,53,5,18,46
ASSAULT,13234476,JG452780,2023-10-06T03:50:00.000,025XX N LUNA AVE,051A,AGGRAVATED - HANDGUN,STREET,False,False,2515,025,30,19,04A,1138952,1916238,2023,2023-10-14T15:41:53.000,41.926276925,-87.764840892,"{'latitude': '41.926276925', 'longitude': '-87.764840892', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",27,22615,19,80,21,2,6,133,30
BATTERY,13234619,JG452858,2023-10-06T03:45:00.000,064XX S LOWE AVE,0486,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,0723,007,20,68,08B,1173144,1862203,2023,2023-10-14T15:41:53.000,41.777309867,-87.640802922,"{'latitude': '41.777309867', 'longitude': '-87.640802922', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",53,21559,66,435,4,11,17,202,16
BATTERY,13235618,JG454065,2023-10-06T03:00:00.000,011XX N KILDARE AVE,0460,SIMPLE,STREET,False,False,1111,011,37,23,08B,1147505,1907175,2023,2023-10-14T15:41:53.000,41.901247249,-87.733645157,"{'latitude': '41.901247249', 'longitude': '-87.733645157', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,4299,24,99,45,5,16,68,37
ASSAULT,13238542,JG456731,2023-10-06T03:00:00.000,080XX S WASHTENAW AVE,0560,SIMPLE,RESIDENCE,False,True,0835,008,18,70,08A,1159773,1851274,2023,2023-10-14T15:41:53.000,41.747604091,-87.690120692,"{'latitude': '41.747604091', 'longitude': '-87.690120692', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,4300,69,243,30,8,13,226,18
BURGLARY,13234436,JG452758,2023-10-06T02:50:00.000,095XX S GREENWOOD AVE,0650,HOME INVASION,RESIDENCE,True,True,0511,005,8,50,05,1185217,1841866,2023,2023-10-14T15:41:53.000,41.721227753,-87.597181715,"{'latitude': '41.721227753', 'longitude': '-87.597181715', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,21861,47,643,35,19,10,250,10
BATTERY,13234511,JG452789,2023-10-06T02:30:00.000,044XX W JACKSON BLVD,0486,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1131,011,28,26,08B,1146868,1898318,2023,2023-10-14T15:41:53.000,41.876954843,-87.736211329,"{'latitude': '41.876954843', 'longitude': '-87.736211329', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",36,21572,27,716,23,30,16,143,28
ASSAULT,13234440,JG452750,2023-10-06T02:30:00.000,014XX E 87TH ST,051A,AGGRAVATED - HANDGUN,STREET,False,False,0412,004,8,45,04A,1187244,1847580,2023,2023-10-14T15:41:53.000,41.736859774,-87.589576475,"{'latitude': '41.736859774', 'longitude': '-87.589576475', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,21546,44,490,35,61,19,240,10
BATTERY,13238874,JG452774,2023-10-06T02:20:00.000,010XX W 14TH ST,0498,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",RESIDENCE,False,True,1232,012,28,28,04B,1169778,1893572,2023,2023-10-14T15:41:53.000,41.863463274,-87.652231049,"{'latitude': '41.863463274', 'longitude': '-87.652231049', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",48,14920,29,760,26,43,15,95,28
BURGLARY,13234477,JG452764,2023-10-06T02:08:00.000,056XX W ROOSEVELT RD,0610,FORCIBLE ENTRY,COMMERCIAL / BUSINESS OFFICE,False,False,1513,015,29,25,05,1138765,1894115,2023,2023-10-14T15:41:53.000,41.865572085,-87.766065523,"{'latitude': '41.865572085', 'longitude': '-87.766065523', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",52,4458,26,61,7,32,25,99,29
BATTERY,13235002,JG453348,2023-10-06T02:00:00.000,020XX S MICHIGAN AVE,0460,SIMPLE,APARTMENT,False,False,0131,001,3,33,08B,1177530,1890539,2023,2023-10-14T15:41:53.000,41.854968236,-87.623866311,"{'latitude': '41.854968236', 'longitude': '-87.623866311', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",48,21194,34,374,9,40,22,148,8
BATTERY,13237402,JG452737,2023-10-06T01:48:00.000,006XX N LEAMINGTON AVE,0486,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,1532,015,37,25,08B,1141914,1903735,2023,2023-10-14T15:41:53.000,41.891912896,-87.754266951,"{'latitude': '41.891912896', 'longitude': '-87.754266951', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,22216,26,694,45,32,25,81,37
ASSAULT,13235282,JG453782,2023-10-06T01:30:00.000,073XX S ST LAWRENCE AVE,0560,SIMPLE,RESIDENCE,False,True,0323,003,6,69,08A,1181506,1856451,2023,2023-10-14T15:41:53.000,41.761336924,-87.6103254,"{'latitude': '41.761336924', 'longitude': '-87.6103254', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",31,21546,67,515,32,61,18,223,4
ASSAULT,13234423,JG452719,2023-10-06T01:16:00.000,079XX S VERNON AVE,0560,SIMPLE,APARTMENT,False,False,0624,006,6,44,08A,1180622,1852384,2023,2023-10-14T15:41:53.000,41.750196978,-87.61368999,"{'latitude': '41.750196978', 'longitude': '-87.61368999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",31,21546,40,11,32,61,20,227,4
BATTERY,13234414,JG452724,2023-10-06T01:15:00.000,004XX E OHIO ST,0460,SIMPLE,APARTMENT,False,True,1834,018,2,8,08B,1179501,1904294,2023,2023-10-14T15:41:53.000,41.892667777,-87.616210158,"{'latitude': '41.892667777', 'longitude': '-87.616210158', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",22,21182,37,534,36,6,14,74,2
ASSAULT,13234417,JG452718,2023-10-06T01:10:00.000,0000X W ILLINOIS ST,0560,SIMPLE,BAR OR TAVERN,False,False,1831,018,42,8,08A,1175702,1903591,2023,2023-10-14T15:41:53.000,41.890824988,-87.630183362,"{'latitude': '41.890824988', 'longitude': '-87.630183362', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",22,4446,37,670,36,55,14,73,42
BATTERY,13234494,JG452721,2023-10-06T01:00:00.000,004XX W 72ND ST,0496,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,RESIDENCE,False,True,0732,007,6,68,04B,1174610,1857189,2023,2023-10-14T15:41:53.000,41.763518354,-87.635577723,"{'latitude': '41.763518354', 'longitude': '-87.635577723', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",31,21559,66,511,32,11,17,214,4
ASSAULT,13234398,JG452706,2023-10-06T00:57:00.000,013XX E 72ND ST,051A,AGGRAVATED - HANDGUN,STREET,False,False,0324,003,8,43,04A,1186457,1857533,2023,2023-10-14T15:41:53.000,41.764190408,-87.592145638,"{'latitude': '41.764190408', 'longitude': '-87.592145638', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",32,21546,39,451,35,61,18,217,10
BATTERY,13234420,JG452717,2023-10-06T00:54:00.000,087XX S HARPER AVE,0486,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,0412,004,8,48,08B,1187977,1847359,2023,2023-10-14T15:41:53.000,41.736235913,-87.586898052,"{'latitude': '41.736235913', 'longitude': '-87.586898052', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,21546,44,490,35,61,19,240,10
BATTERY,13235568,JG454148,2023-10-06T00:49:00.000,022XX S SACRAMENTO AVE,0484,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",STREET,True,False,1033,010,24,30,08B,1156711,1888873,2023,2023-10-14T15:41:53.000,41.850843164,-87.700326288,"{'latitude': '41.850843164', 'longitude': '-87.700326288', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",29,21569,32,261,1,57,21,160,24
BATTERY,13234449,JG452731,2023-10-06T00:39:00.000,085XX W WINONA ST,0486,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,1614,016,41,76,08B,1118596,1932908,2023,2023-10-14T15:41:53.000,41.972367556,-87.83928829,"{'latitude': '41.972367556', 'longitude': '-87.83928829', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34,4448,75,8,29,31,12,44,41
